Type, Name, H, W, HWR, SOR, AR, WPR-L, WPR-D, HCM-L, HCM-D, CM-X, CM-Y, SLOPE, DIS 
Org, A, 105, 284, 0.36971830985915494, 0.030717639168343393, 812.6965794768612, 0.5316593886462883, 0.4683406113537118, 0.52, 0.48065573770491804, 53, 133, 0.5714285714285714, 8.06225774829855
Org, A, 122, 291, 0.41924398625429554, 0.024787335924736635, 846.8097571967777, 0.5522727272727272, 0.44772727272727275, 0.541638608305275, 0.458361391694725, 63, 132, 0.875, 10.63014581273465
Org, A, 117, 304, 0.3848684210526316, 0.028115159694107064, 866.8747188484031, 0.528, 0.472, 0.522731865023237, 0.4756516467973328, 57, 148, 0.8888888888888888, 12.041594578792296
Org, A, 120, 293, 0.40955631399317405, 0.026564277588168372, 763.9620591581343, 0.5053533190578159, 0.49464668094218417, 0.5006459948320413, 0.49935400516795864, 57, 146, 0.38461538461538464, 13.92838827718412
Org, A, 141, 302, 0.46688741721854304, 0.02259170541543375, 1009.7362735428114, 0.5280665280665281, 0.47193347193347196, 0.5161554192229039, 0.47627811860940694, 78, 141, 0.30434782608695654, 24.041630560342615
Org, A, 126, 295, 0.4271186440677966, 0.023567393058918484, 892.2379338175949, 0.5422374429223744, 0.4577625570776256, 0.5230002266032178, 0.47450713800135963, 70, 138, 0.35294117647058826, 18.027756377319946
Org, M, 278, 324, 0.8580246913580247, 0.011191047162270184, 1399.16067146283, 0.5099206349206349, 0.49007936507936506, 0.5141095122407027, 0.48589048775929733, 197, 154, 4.8, 24.515301344262525
Org, M, 270, 528, 0.5113636363636364, 0.007786195286195286, 590.8865740740741, 0.8963963963963963, 0.1036036036036036, 0.914172686618507, 0.08445132438940489, 96, 146, -0.8888888888888888, 72.24956747275377
Org, M, 189, 293, 0.6450511945392492, 0.017552413456850317, 999.557289127255, 0.6316872427983539, 0.3683127572016461, 0.6232612055641422, 0.374613601236476, 101, 125, -7.666666666666667, 23.194827009486403
Org, M, 166, 307, 0.5407166123778502, 0.01895530002747145, 1011.9097366665359, 0.5144927536231884, 0.4855072463768116, 0.518095987411487, 0.481904012588513, 92, 143, 6.75, 27.294688127912362
Org, M, 199, 288, 0.6909722222222222, 0.017029592406476828, 1096.8419877163594, 0.6618852459016393, 0.33811475409836067, 0.6622073578595318, 0.3334644894747196, 108, 120, -5.8, 29.427877939124322
Org, M, 197, 348, 0.5660919540229885, 0.014892934243538129, 968.696014936694, 0.7571008814887366, 0.24289911851126347, 0.7636398689030268, 0.23366107576633893, 99, 132, 1.3157894736842106, 31.400636936215164
Fake, A, 123, 318, 0.3867924528301887, 0.0263844147875441, 1037.5934959349593, 0.5077519379844961, 0.49224806201550386, 0.5032945736434109, 0.49573643410852714, 66, 152, 2.5714285714285716, 19.313207915827967
Fake, A,170, 323, 0.5263157894736842, 0.0198688763431069, 1069.084629393553, 0.5169569202566453, 0.4830430797433547, 0.502206531332745, 0.4967343336275375, 86, 161, 0.391304347826087, 24.698178070456937
Fake, A,171, 310, 0.5516129032258065, 0.022957932465572532, 1145.2794189775514, 0.5119145439605588, 0.48808545603944126, 0.4999201405526274, 0.4948091359207794, 86, 150, 0.6666666666666666, 18.027756377319946
Fake, A,174, 314, 0.554140127388535, 0.021048393000951755, 1213.2714693608611, 0.5043478260869565, 0.4956521739130435, 0.4881396136902745, 0.5067773636055575, 94, 159, 0.5, 20.12461179749811
Fake, A,144, 307, 0.46905537459283386, 0.025855048859934854, 1184.2129478827362, 0.4995625546806649, 0.5004374453193351, 0.48577167726816206, 0.512387010378306, 74, 159, 0.3076923076923077, 13.601470508735444
Fake, A,158, 278, 0.5683453237410072, 0.024428558419087514, 1105.6121254894817, 0.5079217148182665, 0.49207828518173347, 0.5054551958504739, 0.4940082275084958, 82, 140, 0.5384615384615384, 14.7648230602334
Fake, M, 176, 311, 0.5659163987138264, 0.01781277404267758, 967.821452060801, 0.4594871794871795, 0.5405128205128205, 0.475817505384766, 0.524182494615234, 97, 147, -0.375, 17.08800749063506
Fake, M, 206, 306, 0.673202614379085, 0.016276413478012564, 1288.9291833238149, 0.50682261208577, 0.49317738791423, 0.4975013881177124, 0.49953729409587266, 125, 138, -0.8571428571428571, 18.439088914585774
Fake, M, 171, 329, 0.5197568389057751, 0.018165982331715815, 1237.684708224462, 0.5704500978473581, 0.4295499021526419, 0.5643870498363041, 0.43324845398326667, 98, 145, 6.8, 34.36568055487916
Fake, M, 172, 319, 0.5391849529780565, 0.016895093679375958, 1083.0768754100752, 0.5372168284789643, 0.4627831715210356, 0.5326724661136961, 0.4665183087194012, 99, 144, -4.5, 18.439088914585774
Fake, M, 199, 282, 0.7056737588652482, 0.017481022131936277, 1092.5813642681492, 0.6371049949031601, 0.36289500509684, 0.6381919553962565, 0.35921943448825167, 109, 114, -1.5714285714285714, 26.076809620810597
Fake, M, 166, 299, 0.5551839464882943, 0.019482612725148084, 1085.5711810452513, 0.531540847983454, 0.46845915201654603, 0.5306520890277235, 0.46270987895353377, 95, 136, 20.0, 20.024984394500787
